iter	Passed	Remaining
354	303083	8234487
355	303958	8234205
356	304754	8231779
357	305643	8231888
358	306517	8231562
359	307307	8229011
360	308192	8229000
361	308973	8226209
362	309755	8223446
363	310631	8223210
364	311421	8220668
365	312205	8217997
366	313091	8218003
367	313877	8215391
368	314754	8215184
369	315654	8215554
370	316443	8213019
371	317240	8210723
372	318023	8208075
373	318813	8205605
374	319698	8205600
375	320491	8203226
376	321373	8203123
377	322274	8203494
378	323154	8203360
379	324035	8203206
380	324826	8200796
381	325625	8198597
382	326494	8198172
383	327373	8197977
384	328253	8197805
385	329142	8197863
386	330025	8197769
387	330904	8197550
388	331690	8195051
389	332568	8194837
390	333450	8194703
391	334331	8194522
392	335122	8192171
393	336005	8192047
394	336884	8191831
395	337769	8191762
396	338562	8189458
397	339350	8187037
398	340236	8186998
399	341123	8186952
400	342007	8186851
401	342900	8186973
402	343690	8184606
403	344578	8184599
404	345453	8184255
405	346246	8182000
406	347136	8182025
407	348032	8182169
408	348817	8179724
409	349616	8177611
410	350492	8177306
411	351275	8174832
412	352160	8174724
413	352949	8172399
414	353820	8171971
415	354703	8171832
416	355576	8171437
417	356371	8169270
418	357154	8166809
419	358047	8166902
420	358830	8164469
421	359713	8164302
422	360501	8161994
423	361387	8161901
424	362268	8161704
425	363060	8159496
426	363947	8159421
427	364740	8157243
428	365627	8157149
429	366417	8154919
430	367307	8154910
431	368099	8152731
432	368889	8150500
433	369776	8150410
434	370667	8150418
435	371547	8150179
436	372336	8147950
437	373220	8147801
438	374007	8145515
439	374887	8145283
440	375772	8145136
441	376663	8145126
442	377552	8145067
443	378429	8144764
444	379307	8144461
445	380098	8142298
446	380975	8141957
447	381753	8139527
448	382634	8139283
449	383421	8137061
450	384307	8136924
451	385100	8134824
452	385986	8134677
453	386775	8132502
454	387555	8130147
455	388438	8129944
456	389316	8129642
457	390109	8127558
458	390993	8127374
459	391883	8127317
460	392770	8127189
461	393640	8126723
462	394512	8126281
463	395398	8126115
464	396287	8126030
465	397079	8123940
466	397967	8123819
467	398856	8123727
468	399651	8121697
469	400441	8119595
470	401236	8117594
471	402029	8115536
472	402811	8113293
473	403700	8113190
474	404577	8112850
475	405460	8112617
476	406346	8112457
477	407233	8112305
478	408033	8110406
479	408922	8110289
480	409702	8108021
481	410590	8107884
482	411375	8105717
483	412253	8105386
484	413139	8105191
485	413929	8103142
486	414722	8101133
487	415520	8099241
488	416394	8098821
489	417180	8096715
490	417972	8094702
491	418855	8094462
492	419729	8094046
493	420608	8093740
494	421482	8093306
495	422361	8092999
496	423256	8092975
497	424138	8092691
498	424929	8090695
499	425806	8090315
500	426695	8090185
501	427561	8089600
502	428348	8087516
503	429233	8087296
504	430023	8085298
505	430900	8084925
506	431786	8084716
507	432666	8084397
508	433552	8084178
509	434437	8083942
510	435222	8081848
511	436111	8081685
512	437003	8081578
513	437894	8081462
514	438774	8081115
515	439647	8080650
516	440535	8080466
517	441319	8078362
518	442212	8078258
519	442997	8076193
520	443880	8075905
521	444757	8075500
522	445641	8075236
523	446437	8073363
524	447220	8071264
525	448003	8069170
526	448881	8068790
527	449763	8068491
528	450640	8068087
529	451429	8066113
530	452316	8065878
531	453102	8063862
532	453988	8063618
533	454776	8061641
534	455560	8059581
535	456443	8059299
536	457323	8058944
537	458120	8057132
538	458989	8056580
539	459877	8056380
540	460660	8054314
541	461553	8054200
542	462351	8052404
543	463223	8051915
544	464022	8050157
545	464804	8048103
546	465581	8045957
547	466369	8044020
548	467254	8043764
549	468045	8041865
550	468914	8041328
551	469792	8040945
552	470667	8040498
553	471552	8040227
554	472428	8039794
555	473318	8039598
556	474201	8039289
557	475090	8039070
558	475884	8037247
559	476766	8036914
560	477652	8036653
561	478524	8036143
562	479409	8035849
563	480290	8035498
564	481083	8033670
565	481870	8031749
566	482668	8029999
567	483541	8029518
568	484421	8029141
569	485311	8028920
570	486194	8028587
571	487069	8028128
572	487950	8027771
573	488827	8027329
574	489623	8025569
575	490512	8025324
576	491381	8024763
577	492254	8024254
578	493134	8023872
579	494013	8023459
580	494898	8023146
581	495683	8021209
582	496573	8020982
583	497467	8020808
584	498355	8020536
585	499243	8020265
586	500032	8018407
587	500825	8016615
588	501711	8016309
589	502498	8014419
590	503381	8014074
591	504269	8013795
592	505147	8013362
593	506038	8013127
594	506924	8012814
595	507801	8012365
596	508596	8010605
597	509479	8010245
598	510349	8009682
599	511141	8007887
600	511936	8006139
601	512821	8005810
602	513704	8005436
603	514592	8005146
604	515388	8003437
605	516179	8001629
606	517064	8001289
607	517950	8000972
608	518835	8000632
609	519711	8000149
610	520594	7999774
611	521503	7999802
612	522382	7999357
613	523171	7997533
614	524053	7997138
615	524932	7996701
616	525821	7996411
617	526712	7996137
618	527591	7995703
619	528473	7995286
620	529347	7994767
621	530232	7994408
622	531106	7993879
623	531988	7993473
624	532876	7993154
625	533770	7992914
626	534651	7992489
627	535539	7992158
628	536330	7990381
629	537124	7988665
630	537908	7986792
631	538791	7986395
632	539677	7986028
633	540556	7985567
634	541443	7985224
635	542321	7984747
636	543199	7984262
637	544079	7983808
638	544876	7982142
639	545769	7981880
640	546553	7980019
641	547341	7978225
642	548217	7977709
643	549009	7975976
644	549889	7975524
645	550759	7974924
646	551645	7974565
647	552536	7974261
648	553420	7973858
649	554301	7973420
650	555187	7973036
651	556072	7972640
652	556949	7972133
653	557745	7970468
654	558629	7970065
655	559516	7969704
656	560403	7969324
657	561284	7968881
658	562173	7968530
659	563061	7968172
660	563947	7967784
661	564819	7967201
662	565710	7966880
663	566593	7966437
664	567378	7964622
665	568251	7964049
666	569132	7963586
667	570023	7963265
668	570796	7961294
669	571673	7960769
670	572549	7960231
671	573430	7959767
672	574302	7959172
673	575186	7958738
674	575979	7957052
675	576765	7955268
676	577548	7953446
677	578427	7952954
678	579220	7951271
679	580101	7950806
680	580971	7950181
681	581861	7949826
682	582731	7949203
683	583605	7948643
684	584482	7948111
685	585265	7946304
686	586169	7946136
687	587047	7945617
688	587915	7944960
689	588793	7944447
690	589681	7944059
691	590566	7943635
692	591350	7941844
693	592139	7940129
694	592930	7938437
695	593811	7937967
696	594691	7937469
697	595583	7937136
698	596373	7935437
699	597254	7934946
700	598039	7933197
701	598821	7931399
702	599698	7930865
703	600494	7929255
704	601382	7928859
705	602269	7928457
706	603053	7926700
707	603833	7924893
708	604732	7924645
709	605622	7924267
710	606513	7923910
711	607295	7922132
712	608185	7921763
713	609067	7921293
714	609948	7920800
715	610734	7919082
716	611620	7918650
717	612414	7917039
718	613197	7915273
719	614069	7914675
720	614865	7913089
721	615649	7911356
722	616542	7911019
723	617419	7910469
724	618295	7909912
725	619084	7908244
726	619965	7907754
727	620749	7906035
728	621544	7904437
729	622430	7904016
730	623308	7903479
731	624102	7901891
732	624881	7900101
733	625664	7898369
734	626456	7896755
735	627346	7896388
736	628136	7894746
737	629020	7894298
738	629892	7893683
739	630677	7891994
740	631560	7891525
741	632348	7889864
742	633134	7888189
743	634005	7887569
744	634895	7887191
745	635779	7886728
746	636651	7886131
747	637533	7885644
748	638411	7885105
749	639196	7883419
750	640090	7883082
751	640980	7882694
752	641766	7881031
753	642557	7879430
754	643448	7879053
755	644238	7877436
756	645028	7875825
757	645919	7875445
758	646808	7875038
759	647682	7874458
760	648570	7874041
761	649442	7873420
762	650328	7872980
763	651218	7872578
764	652005	7870937
765	652893	7870519
766	653777	7870043
767	654559	7868355
768	655448	7867935
769	656337	7867520
770	657209	7866902
771	658092	7866416
772	658976	7865940
773	659865	7865531
774	660750	7865065
775	661627	7864502
776	662515	7864068
777	663402	7863617
778	664278	7863044
779	665076	7861545
780	665965	7861127
781	666850	7860653
782	667642	7859078
