iter	Logloss
0	0.6362336969
1	0.586944285
2	0.5447406309
3	0.5074438932
4	0.4759969611
5	0.4482385103
6	0.4240585562
7	0.4030863086
8	0.3852210111
9	0.3694894137
10	0.3553995552
11	0.343237287
12	0.3329930846
13	0.3233304644
14	0.3154960318
15	0.3076824412
16	0.3014929042
17	0.2960393141
18	0.2908515015
19	0.2862930774
20	0.28239684
21	0.2788291254
22	0.275616853
23	0.2726036199
24	0.2701967113
25	0.2678189989
26	0.265762784
27	0.2640103004
28	0.2625308978
29	0.2609426232
30	0.2596898631
31	0.2583427234
32	0.2572763186
33	0.2561199456
34	0.2552468605
35	0.2545645352
36	0.2537531407
37	0.2529824395
38	0.2523097266
39	0.251685544
40	0.2511710573
41	0.250600059
42	0.2501212728
43	0.2497157771
44	0.2493577721
45	0.2489660022
46	0.2485797135
47	0.2481972809
48	0.2479416014
49	0.2476285105
50	0.2473527797
51	0.2471462749
52	0.2469485923
53	0.2467517287
54	0.246477392
55	0.246246435
56	0.2460369146
57	0.2458757174
58	0.2456977673
59	0.245529727
60	0.245381619
61	0.245247619
62	0.2450652199
63	0.2449059312
64	0.2447384827
65	0.2446254883
66	0.2445149111
67	0.2443580147
68	0.2442589612
69	0.2441525963
70	0.2440372833
71	0.2439242522
72	0.2437973309
73	0.2436983533
74	0.243580465
75	0.2435198389
76	0.2434015098
77	0.243261338
78	0.2431444912
79	0.2430425456
80	0.2429634089
81	0.2429044132
82	0.242811355
83	0.2427374647
84	0.2426563195
85	0.2425641095
86	0.2425021022
87	0.2424034408
88	0.2423288757
89	0.2422465479
90	0.2421490466
91	0.2420553813
92	0.2419500207
93	0.241869597
94	0.2418119528
95	0.2417428803
96	0.24168527
97	0.241606481
98	0.2415631064
99	0.2415018933
100	0.2414315833
101	0.2413752188
102	0.2413163615
103	0.241261522
104	0.241201759
105	0.2411218821
106	0.2410683495
107	0.2409897615
108	0.2409128163
109	0.2408600087
110	0.2408095268
111	0.2407525619
112	0.2406905263
113	0.2406363187
114	0.2405822094
115	0.2405104681
116	0.2404396236
117	0.2403902579
118	0.2403249211
119	0.2402553789
120	0.2401846859
121	0.2401387156
122	0.2400965745
123	0.2400241473
124	0.2399388968
125	0.2398766626
126	0.2398244121
127	0.2397730388
128	0.2397414931
129	0.2396394428
130	0.239570305
131	0.2395293329
132	0.2394812512
133	0.2394376158
134	0.2393947071
135	0.2393534543
136	0.2393200181
137	0.2392680918
138	0.2392000936
139	0.2391573091
140	0.2391185975
141	0.2390663914
142	0.239009096
143	0.2389588168
